TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0106,67,5,1220,2,X,2022,14544,0,758
1,0106,68,5,1220,1,X,2022,10046968,0,401759
1,0106,68,5,1220,2,X,2022,339815,0,14108
1,0106,68,6,1220,1,X,2022,23398,0,1113
1,0106,69,5,1220,1,X,2022,327538,0,12363
1,0106,69,5,1220,2,X,2022,49034,0,3323
1,0106,70,5,1220,1,X,2022,7838817,0,232644
1,0106,70,5,1220,2,X,2022,273879,0,4841
1,0106,71,5,1220,1,X,2022,37346,0,471
1,0106,71,5,1220,2,X,2022,33202,0,407
1,0106,71,6,1220,1,X,2022,14995,0,395
1,0106,72,5,1220,1,X,2022,9868370,0,559804
1,0106,72,5,1220,2,X,2022,4962935,0,73463
1,0106,72,6,1220,1,X,2022,1853081,0,74748
1,0106,72,8,1220,1,X,2022,4277,0,58
1,0106,73,5,1220,1,X,2022,74158541,0,4772216
1,0106,73,5,1220,2,X,2022,6271961,0,218397
1,0106,73,6,1220,1,X,2022,15037,0,374
1,0106,73,8,1220,1,X,2022,45746,0,3554
1,0106,74,5,1220,1,X,2022,2027402,0,24525
1,0106,75,5,1220,1,X,2022,10748479,0,108167
1,0106,76,5,1220,1,X,2022,13089543,0,805360
1,0106,76,5,1220,2,X,2022,1010668,0,14282
1,0106,76,6,1220,1,X,2022,247112,0,5734
1,0106,79,5,1220,1,X,2022,17330,0,1326
1,0106,80,5,1220,1,X,2022,193047,0,1634
1,0106,80,5,1220,2,X,2022,608613,0,909
1,0106,81,5,1220,1,X,2022,11081,0,730
1,0106,82,5,1220,1,X,2022,1249828,0,20275
1,0106,82,5,1220,2,X,2022,48785,0,1852
1,0106,83,5,1220,1,X,2022,969744,0,19925
1,0106,83,5,1220,2,X,2022,142969,0,2210
1,0106,84,5,1220,1,X,2022,104624007,0,1916863
1,0106,84,5,1220,2,X,2022,59388111,0,1083918
1,0106,85,5,1220,1,X,2022,16459020,0,393813
1,0106,85,5,1220,2,X,2022,4741607,0,41514
1,0106,86,5,1220,1,X,2022,528484,0,13763
1,0106,86,5,1220,2,X,2022,66841,0,3069
1,0106,87,5,1220,1,X,2022,144151038,0,2371682
1,0106,87,5,1220,2,X,2022,36781452,0,682666
1,0106,87,6,1220,2,X,2022,2749,0,122
1,0106,87,8,1220,1,X,2022,283487,0,2727
1,0106,88,5,1220,1,X,2022,3504917,0,36432
1,0106,88,5,1220,2,X,2022,37967,0,1515
1,0106,89,5,1220,1,X,2022,20485314,0,266116
1,0106,89,5,1220,2,X,2022,2218480,0,26251
1,0106,89,8,1220,1,X,2022,37965,0,0
1,0106,90,5,1220,1,X,2022,14686781,0,228725
1,0106,90,5,1220,2,X,2022,5165667,0,49245
1,0106,91,5,1220,1,X,2022,35363,0,309
1,0106,93,5,1220,1,X,2022,3901354,0,151
1,0106,94,5,1220,1,X,2022,15187779,0,459528
1,0106,94,5,1220,2,X,2022,2923738,0,69985
1,0106,95,5,1220,1,X,2022,3649071,0,47272
1,0106,95,5,1220,2,X,2022,767014,0,18759
1,0106,96,5,1220,1,X,2022,4922956,0,186906
1,0106,96,5,1220,2,X,2022,114504,0,3129
1,0106,96,6,1220,1,X,2022,55515,0,442
1,0106,97,5,1220,1,X,2022,6405,0,111
1,0106,98,5,1220,1,X,2022,103512,0,1608
1,0106,98,5,1220,2,X,2022,11858,0,160
1,0107,07,5,1220,1,X,2022,1285743,0,108987
1,0107,10,5,1220,1,X,2022,130882,0,2559
1,0107,11,5,1220,1,X,2022,470649,0,69234
1,0107,12,5,1220,1,X,2022,159574,0,22445
1,0107,19,5,1220,1,X,2022,44117,0,436
1,0107,20,5,1220,1,X,2022,175888,0,3445
1,0107,29,5,1220,1,X,2022,4958,0,122
1,0107,29,6,1220,1,X,2022,69901,0,1370
1,0107,31,5,1220,1,X,2022,599173,0,11732
1,0107,39,5,1220,1,X,2022,843510,0,18455
1,0107,39,6,1220,1,X,2022,31615,0,451
1,0107,44,5,1220,1,X,2022,4819161,0,50233
1,0107,47,5,1220,1,X,2022,55465,0,1375
1,0107,48,5,1220,1,X,2022,300744,0,9551
1,0107,61,5,1220,2,X,2022,16224,0,1121
1,0107,62,5,1220,2,X,2022,7592,0,247
1,0107,68,5,1220,1,X,2022,4531,0,88
1,0107,72,5,1220,1,X,2022,3028,0,74
1,0107,73,5,1220,1,X,2022,961824,0,39004
1,0107,73,5,1220,2,X,2022,2748,0,111
1,0107,76,5,1220,1,X,2022,282871,0,1583
1,0107,76,5,1220,2,X,2022,8976,0,194
1,0107,84,5,1220,1,X,2022,274835,0,12002
1,0107,84,5,1220,2,X,2022,20559,0,302
1,0107,85,5,1220,2,X,2022,3466,0,46
1,0107,87,5,1220,1,X,2022,131961,0,1962
1,0107,89,5,1220,1,X,2022,20635,0,395
1,0107,90,5,1220,2,X,2022,6922,0,135
1,0107,95,5,1220,1,X,2022,6188,0,226
1,0108,04,5,1220,1,X,2022,63390,0,23
1,0108,07,5,1220,1,X,2022,1898504,0,112031
1,0108,07,5,1220,2,X,2022,19609,0,756
1,0108,10,5,1220,1,X,2022,1048221,0,22869
1,0108,15,5,1220,1,X,2022,95272,0,1867
1,0108,20,5,1220,1,X,2022,78359,0,1535
1,0108,27,5,1220,1,X,2022,157496,0,15400
1,0108,32,5,1220,1,X,2022,28366,0,275
1,0108,35,5,1220,1,X,2022,57099,0,858
1,0108,38,5,1220,1,X,2022,13733,0,95
1,0108,39,5,1220,1,X,2022,473427,0,12521
1,0108,40,5,1220,1,X,2022,12737,0,278
1,0108,44,5,1220,1,X,2022,6088160,0,218820
1,0108,44,6,1220,1,X,2022,15733521,0,1973918
1,0108,47,5,1220,1,X,2022,43047,0,2673
1,0108,48,5,1220,1,X,2022,21265279,0,629825
1,0108,48,5,1220,2,X,2022,71274,0,705
1,0108,48,6,1220,1,X,2022,270195,0,2673
1,0108,54,5,1220,2,X,2022,3134,0,68
1,0108,56,5,1220,1,X,2022,46396,0,1196
1,0108,61,5,1220,1,X,2022,7945,0,121
1,0108,63,5,1220,1,X,2022,35765,0,288
1,0108,68,5,1220,1,X,2022,2677,0,67
1,0108,70,5,1220,1,X,2022,5939,0,142
1,0108,72,5,1220,1,X,2022,6847,0,396
1,0108,73,5,1220,1,X,2022,408652,0,16212
1,0108,73,5,1220,2,X,2022,2608,0,105
1,0108,74,5,1220,1,X,2022,5044,0,55
1,0108,76,5,1220,1,X,2022,12236,0,664
1,0108,82,5,1220,1,X,2022,128226,0,2038
1,0108,82,5,1220,2,X,2022,11202,0,166
1,0108,84,5,1220,1,X,2022,2257622,0,70212
1,0108,84,5,1220,2,X,2022,191691,0,7190
1,0108,85,5,1220,1,X,2022,51276,0,2385
1,0108,86,5,1220,1,X,2022,23847,0,768
1,0108,87,5,1220,1,X,2022,2589236,0,79300
1,0108,87,5,1220,2,X,2022,15649,0,261
1,0108,88,5,1220,1,X,2022,2070881,0,44468
1,0108,89,5,1220,1,X,2022,181350,0,2967
1,0108,90,5,1220,1,X,2022,3296,0,55
1,0108,90,5,1220,2,X,2022,24736,0,311
1,0108,94,5,1220,1,X,2022,9142,0,847
1,0108,95,5,1220,1,X,2022,9219,0,180
1,0108,95,5,1220,2,X,2022,21133,0,1852
1,0108,98,5,1220,1,X,2022,843060,0,8340
1,0109,03,5,1220,1,X,2022,71231,0,2074
1,0109,04,5,1220,1,X,2022,63899,0,632
1,0109,25,5,1220,1,X,2022,7636,0,149
1,0109,32,5,1220,1,X,2022,13146,0,260
